id,category,question,answer_a,answer_b,answer_c,correct,correct_answer
1,Budowa jachtów,Na rysunku pokazano schematycznie miecz jachtu. Jaki to rodzaj miecza?,Szybrowy,Obrotowy,Balastowy,B,Obrotowy
2,Budowa jachtów,Na rysunku pokazano schematycznie miecz jachtu. Jaki to rodzaj miecza?,Szybrowy,Obrotowy,Balastowy,A,Szybrowy
3,Budowa jachtów,Bulbkil jest to:,Kształt dziobu jachtu,Kształt rufy jachtu,Jeden z rodzajów falszkila z balastem,C,Jeden z rodzajów falszkila z balastem
4,Budowa jachtów,"Spinaker, to żagiel stosowany przy żegludze:",Kursami ostro na wiatr (bejdewind),W żegludze sztormowej,"Na kursach pełnych (baksztag, fordewind)",C,"Na kursach pełnych (baksztag, fordewind)"
5,Budowa jachtów,"Hals, to lina napinająca lub mocująca:",Dolny róg żagla przy liku przednim,Dolny róg żagla przy liku tylnym (wolnym),Górny róg żagla gdzie mocowany jest fał,A,Dolny róg żagla przy liku przednim
6,Budowa jachtów,"Refszkentla, jest liną napinającą:",Róg halsowy żagla przy refowaniu,Róg szotowy żagla przy refowaniu,Róg fałowy żagla,B,Róg szotowy żagla przy refowaniu
7,Budowa jachtów,Lazy jack to:,System linek biegnących do kolumny masztu od bomu (często połączony z pokrowcem),System linek ułatwiający wybieranie kotwicy,System lin do cumowanie jachtu amortyzujący ruchy jachtu,A,System linek biegnących do kolumny masztu od bomu (często połączony z pokrowcem)
8,Budowa jachtów,"Główny wzdłużny element konstrukcyjny kadłuba jachtu, to:",Kingston,Stępka / Kil,Stewa,B,Stępka / Kil
9,Budowa jachtów,Szkielet jachtu w płaszczyźnie poprzecznej wzmacniają:,Wręgi,Gretingi,Szpigaty,A,Wręgi
10,Budowa jachtów,Kontrafałem nazywamy:,Linę służącą do podnoszenia żagla,"Linę służącą do opuszczania żagla, działającą przeciwnie do fału",Linę służącą do trymowania żagla,B,"Linę służącą do opuszczania żagla, działającą przeciwnie do fału"
11,Budowa jachtów,"Górny koniec masztu, to:",Pik,Top,Pięta,B,Top
12,Budowa jachtów,"Sztormreling, to:",Barierka otaczająca pokład,Uchwyt na nadbudówce,Drabinka sznurowa do wchodzenia z wody na pokład,A,Barierka otaczająca pokład
13,Budowa jachtów,"Flagsztok, jest to:","Drzewce, na którym podnosi się banderę","Drzewce, na którym zakłada się mały żagiel","Drzewce, na którym podwieszony jest dzwon",A,"Drzewce, na którym podnosi się banderę"
14,Budowa jachtów,Brest jest to:,Lina służąca do stawiania sztaksli,Lina cumownicza biegnąca prostopadle z jachtu do nabrzeża,Potoczna nazwa szotów bezana,B,Lina cumownicza biegnąca prostopadle z jachtu do nabrzeża
15,Budowa jachtów,Gardą (szponą) nazywamy element konstrukcji:,Łączący bom z masztem,Łączący gafel z masztem,Łączący bukszpryt z kadłubem,B,Łączący gafel z masztem
16,Budowa jachtów,Końce bomu to:,Hals i szkentla,Nok i pięta,Pik i garda,B,Nok i pięta
17,Budowa jachtów,Refpatentem nazywamy element konstrukcyjny:,"Bomu, pozwalający na nawijanie żagla na bom","Masztu, pozwalający na zwijanie żagla do masztu","Bukszprytu, pozwalający na przesuwanie bukszprytu do rufy",A,"Bomu, pozwalający na nawijanie żagla na bom"
18,Budowa jachtów,"Przy ożaglowaniu bermudzkim krawędź żagla mocowana do takielunku (masztu, sztagu) to:",Lik górny,Lik przedni,Lik wolny,B,Lik przedni
19,Budowa jachtów,Najczęściej stosowane napięcie w akumulatorach jachtowych to:,230 V,12 V,48 V,B,12 V
20,Budowa jachtów,"Pomieszczenie służące do przygotowywania posiłków na jachcie, to:",Kubryk,Kambuz,Kingston,B,Kambuz
21,Budowa jachtów,Szpicgat to typ kadłuba jachtu o poniższej charakterystyce:,"Bez pawęży, dziób i rufa ostro zakończone.","Dziób zakończony tępo, rufa z pawężą","Dziób z dużym nawisem, rufa z bardzo szeroką pawężą",A,"Bez pawęży, dziób i rufa ostro zakończone."
22,Budowa jachtów,Jakiego rodzaju paliwo używane jest w czterosuwowych silnikach przyczepnych:,Benzyna zmieszana z olejem silnikowym,Olej napędowy,Czysta benzyna,C,Czysta benzyna
23,Budowa jachtów,Kokpit na jachcie to:,Przestrzeń wodoszczelna zapewniająca pływalność jachtu,Pomieszczenie magazynowe na dziobie lub rufie,"Przestrzeń dla załogi skąd można obsługiwać urządzenia jachtu (np. szoty żagli, ster itp.)",C,"Przestrzeń dla załogi skąd można obsługiwać urządzenia jachtu (np. szoty żagli, ster itp.)"
24,Budowa jachtów,Pokazana na rysunku kotwica to kotwica:,Danfortha,Admiralicji,Delta,B,Admiralicji
25,Budowa jachtów,Do regulacji napięcia olinowania stałego jachtu używa się:,Ściągaczy,Reflinek,Topenant,A,Ściągaczy
26,Budowa jachtów,Topenanta to lina służąca do:,Zapobiegania unoszeniu się bomu przy żegludze pełnym wiatrem,Ustawiania wysokości noku bomu i zapobiegająca opadaniu bomu przy zrzucaniu żagli,Łącząca topy dwóch masztów,B,Ustawiania wysokości noku bomu i zapobiegająca opadaniu bomu przy zrzucaniu żagli
27,Budowa jachtów,Bryty są to:,"Pasy tkaniny, z której uszyty jest żagiel",Wzmocnienie rogów żagla,Szwy łączące pasy tkaniny w żaglu,A,"Pasy tkaniny, z której uszyty jest żagiel"
28,Budowa jachtów,Dla umożliwienia kładzenia masztu jest on osadzany w:,W opętniku,Obrotowo w tzw. cęgach umieszczonych na pokładzie lub nadbudówce,W jarzmie masztu,B,Obrotowo w tzw. cęgach umieszczonych na pokładzie lub nadbudówce
29,Budowa jachtów,Do prowadzenia i regulacji ustawienia szotów żagli (np. foka) służą:,Remizki,Dulki,Kipy,C,Kipy
30,Budowa jachtów,Kabestan to urządzenie:,Umożliwiające wybieranie lin (np. szotów czy fałów) z dużą siłą,Prowadzące łańcuch kotwiczny bez tarcia o pokład,Ułatwiające sterowanie przy dużej fali,A,Umożliwiające wybieranie lin (np. szotów czy fałów) z dużą siłą
31,Budowa jachtów,Na rysunku obok pokazano element takielunku jachtu. Jest to:,Luwers,Kausza,Szakla,C,Szakla
32,Budowa jachtów,Refbanta to:,Mechanizm do rolowania żagla,Wzmocnienie bomu dla zwiększenia jego sztywności,Wzmocnienie żagla z remizkami lub remizkami i refsejzingami,C,Wzmocnienie żagla z remizkami lub remizkami i refsejzingami
33,Budowa jachtów,Pokazany na szkicu żagiel to:,Grot,Genua,Bezan,C,Bezan
34,Budowa jachtów,Jak nazywają się pokazane na szkicu kolorem czerwonym elementy rozpierające wanty?,Rakskloty,Szandeki,Salingi,C,Salingi
35,Budowa jachtów,Szoty to liny służące do:,Stawiania żagli,Wybierania i luzowania żagli przy manewrach,Podnoszenia miecza,B,Wybierania i luzowania żagli przy manewrach
36,Budowa jachtów,Pawęż to element konstrukcyjny jachtu:,Wzmacniający dziób,Rufowe zakończenie kadłuba jachtu,Poprzeczne wzmocnienie kadłuba jachtu na śródokręciu,B,Rufowe zakończenie kadłuba jachtu
37,Budowa jachtów,Szpring dziobowy to lina cumownicza biegnąca:,Od dziobu na ląd w stronę rufy jachtu,Od rufy na ląd w stronę rufy jachtu,Od dziobu na ląd przed dziób jachtu,A,Od dziobu na ląd w stronę rufy jachtu
38,Budowa jachtów,Żagiel o dużej powierzchni podnoszony na sztagu i sięgający znacznie poza wanty to:,Fok,Grot,Genua,C,Genua
39,Budowa jachtów,Do mocowania lin olinowania ruchomego do żagli lub lin olinowania stałego do okuć pokładowych mogą być używane:,Raksy,Pełzacze,Szekle,C,Szekle
40,Budowa jachtów,Komory wypornościowe na jachcie służą do:,Zapewnienia pływalności po napełnieniu jachtu wodą po jego wywróceniu lub awarii kadłuba,Poprawy stateczności jachtu,Mogą służyć do przechowywania sprzętu ratunkowego,A,Zapewnienia pływalności po napełnieniu jachtu wodą po jego wywróceniu lub awarii kadłuba
41,Budowa jachtów,Lina służące do podnoszenia miecza to:,Fał miecza,Kontrafał miecza,Szot miecza,A,Fał miecza
42,Budowa jachtów,Krawędź żagla obszytą dla wzmocnienia nazywamy:,Kilem,Listwą,Likiem,C,Likiem
43,Budowa jachtów,Po zakończeniu używania kuchenki gazowej należy jako pierwszą czynność wykonać:,Zamknąć dokładnie zawór butli gazowej,Sprawdzić temperaturę butli,Oczyścić palniki kuchenki,A,Zamknąć dokładnie zawór butli gazowej
44,Budowa jachtów,Jak nazywa się urządzenie do podnoszenia i opuszczania silnika przyczepnego?,Uchwyt rufowy,Pantograf,Podnośnik zawiasowy,B,Pantograf
45,Budowa jachtów,"Jacht, który posiada jeden maszt i dwa żagle grot i fok ma typ osprzętu żaglowego:",Ket,Kecz,Slup,C,Slup
46,Budowa jachtów,Knaga to element osprzętu jachtu służący do:,Mocowania lin,Wykonywania splotów na linach,Wzmocnienia pokładu,A,Mocowania lin
47,Budowa jachtów,Jak bezpiecznie sprawdzić szczelność instalacji gazowej na jachcie?,"Za pomocą płomienia (zapałki, zapalniczki)",Na słuch (szum uchodzącego gazu),"Za pomocą wody ze środkiem pieniącym (mydło, płyn do zmywania)",C,"Za pomocą wody ze środkiem pieniącym (mydło, płyn do zmywania)"
48,Budowa jachtów,Kluza jest to:,Okucie lub otwór w nadburciu służące do prowadzenia cum czy szpringów,Ucho na pokładzie do mocowania bloków,Urządzenie do mocowania lin ( np. szotów),A,Okucie lub otwór w nadburciu służące do prowadzenia cum czy szpringów
49,Budowa jachtów,O sprawności układu chłodzenia w silniku zaburtowym świadczy:,Równo pracujący silnik,Wypływająca z otworu pod silnikiem struga wody,Czyste spaliny (brak dymu w spalinach),B,Wypływająca z otworu pod silnikiem struga wody
50,Budowa jachtów,Żagiel podnoszony na sztagu jachtu o osprzęcie żaglowym typu slup to:,Bezan,Fok,Grot,B,Fok
51,Budowa jachtów,Miecz na jachcie to:,Opuszczana płyta umieszczona w skrzyni lub falszkilu w środkowej części jachtu.,Część urządzenia sterowego,Urządzenie do regulacji kąta przechyłu,A,Opuszczana płyta umieszczona w skrzyni lub falszkilu w środkowej części jachtu.
52,Budowa jachtów,Do olinowania ruchomego zaliczamy:,Sztagi,Achtersztag,Fały,C,Fały
53,Budowa jachtów,Akumulatory kwasowe bezobsługowe powinny być umieszczone na jachcie:,W pomieszczeniu wydzielonym i dobrze wentylowanym,Tylko na pokładzie,Nie ma znaczenia gdzie się je umieści,A,W pomieszczeniu wydzielonym i dobrze wentylowanym
54,Budowa jachtów,Refsejzingi to linki służące do:,Mocowania pokrowca na na żagiel do bomu,Linki mocujące żagiel do bomu przy refowaniu żagla,Cumowania jachtu przy silnym wietrze,B,Linki mocujące żagiel do bomu przy refowaniu żagla
55,Budowa jachtów,Na rysunku pokazano schematycznie konstrukcję urządzenia sterowego. Element zaznaczony kolorem czerwonym to:,Rumpel,Jarzmo,Płetwa steru,C,Płetwa steru
56,Budowa jachtów,Achterpik na jachcie znajduje się:,To pomieszczenie rufowej części jachtu,To pomieszczenie w dziobowej części jachtu,To tylny koniec bomu,A,To pomieszczenie rufowej części jachtu
57,Budowa jachtów,Fok może być mocowany do sztagu miedzy innymi przy pomocy:,Segarsów,Raks,Pełzaczy,B,Raks
58,Eksploatacja oraz manewrowanie jachtem,"Jeżeli człowiek wypadł za burtę na kursie pełny baksztag, to który z opisanych poniżej manewrów będzie najprostszy i najszybszy?","Odpłynąć bez zmiany kursu kilkadziesiąt metrów, szybko wykonać zwrot przez sztag i halsując podchodzić do człowieka","Natychmiast wykonać zwrot przez rufę, wyostrzyć, wykonać zwrot przez sztag i halsując podchodzić do człowieka","Wyostrzyć, odejść nie za daleko, wykonać zwrot przez sztag i podejść bajdewindem.",B,"Natychmiast wykonać zwrot przez rufę, wyostrzyć, wykonać zwrot przez sztag i halsując podchodzić do człowieka"
59,Eksploatacja oraz manewrowanie jachtem,Jacht zacumowany dziobem do pomostu odchodzi na silniku od nabrzeża na biegu wstecznym. Chcemy aby dziób odchylał się w prawo. Jak ustawić płetwę sterową?,"Ustawić płetwę steru w położeniu ""zero""","Ustawić płetwę steru w położeniu ""lewo""","Ustawić płetwę steru w położeniu ""prawo""",B,"Ustawić płetwę steru w położeniu ""lewo"""
60,Eksploatacja oraz manewrowanie jachtem,Przy odejściu od boi na lewy hals ustawiamy:,"Fok prawo na wiatr, ster zero","Fok lewo na wiatr, ster lewo","Grot i fok w łopocie, ster prawo",B,"Fok lewo na wiatr, ster lewo"
61,Eksploatacja oraz manewrowanie jachtem,Śruba prawoskrętna umiejscowiona jest w diametralnej jachtu. Włączamy silnik na bieg naprzód. Ster zero. Jaka będzie reakcja jachtu?,Rufa będzie odrzucana w prawo,Rufa będzie odrzucana w lewo,Jacht ruszy naprzód bez zmiany kierunku,A,Rufa będzie odrzucana w prawo
62,Eksploatacja oraz manewrowanie jachtem,Jacht prawie stoi. Jest niewiele miejsca na obrót. Chcemy wykonać jachtem na silniku ciasny skręt w prawo. Jak należy postąpić?,"Ster prawo na burt, krótko cała naprzód, silnik stop","Ster prawo na burt, wolno naprzód","Ster prawo na burt, cała naprzód",A,"Ster prawo na burt, krótko cała naprzód, silnik stop"
63,Eksploatacja oraz manewrowanie jachtem,Przy dojściu do nabrzeża rufą podano i zamocowano dwie cumy rufowe. Członek załogi na dziobie nie zdążył założyć cumy dziobowej na boję. Wiatr jest silny od dziobu. Jak dalej manewrować?,Starać się złapać boję bosakiem i przyciągać jacht dla założenia cumy,"Silnik naprzód stosownie do potrzeby, powoli luzować cumy rufowe i założyć cumę dziobową. silnik stop. Ustawić jacht na cumach.",Założyć odbijacze na rufie i prosić o pomoc personel przystani,B,"Silnik naprzód stosownie do potrzeby, powoli luzować cumy rufowe i założyć cumę dziobową. silnik stop. Ustawić jacht na cumach."
64,Eksploatacja oraz manewrowanie jachtem,Intensywne hamowanie żaglami polega na:,Całkowitym wyluzowaniu żagli,Maksymalnym wybraniu żagli do diametralnej jachtu,Wypychaniu żagli na wiatr,C,Wypychaniu żagli na wiatr
65,Eksploatacja oraz manewrowanie jachtem,Podchodząc do boi najskuteczniej jest przeprowadzić manewr w sposób następujący:,"Zrzucić fok przed podejściem, dochodzić w linii wiatru, założyć cumę na biegowo, a następnie zrzucić grot.","Zrzucić grot, podchodzić na foku z wiatrem, założyć cumę na boję, zrzucić fok","Podchodzić pod pełnymi żaglami, po założeniu cumy na boję zrzucić żagle.",A,"Zrzucić fok przed podejściem, dochodzić w linii wiatru, założyć cumę na biegowo, a następnie zrzucić grot."
66,Eksploatacja oraz manewrowanie jachtem,Jacht (czerwony) jest zacumowany jak na rysunku. Jak najbezpieczniej powinien odejść od pomostu pod żaglami (wiatr niebieska strzałka)?,Przecumować jacht do wolnej części pomostu rufą do wiatru. Postawić żagle i odejść z wiatrem,Przecumować jacht do wolnej części pomostu dziobem do wiatru. Postawić żagle i odejść lewym halsem.,"Nie da się odejść, konieczna jest pomoc dla wywiezienia kotwicy lub odholowania jachtu",B,Przecumować jacht do wolnej części pomostu dziobem do wiatru. Postawić żagle i odejść lewym halsem.
67,Eksploatacja oraz manewrowanie jachtem,"Kąt martwy dla danego jachtu wynosi 120°. W jakim momencie podczas halsowania należy wykonać zwrot przez sztag, aby mieć pewność, że jednym halsem dopłyniemy do żądanego punktu ( np. boi)?",Kiedy płynąc ostrym bajdewindem zaobserwujemy ten obiekt w kierunku ok. 60° od kursu,Kiedy płynąc ostrym bajdewindem zaobserwujemy ten obiekt w kierunku nieco większym niż 120° od kursu,Kiedy płynąc ostrym bajdewindem zaobserwujemy ten obiekt w kierunku ok. 90° od kursu,B,Kiedy płynąc ostrym bajdewindem zaobserwujemy ten obiekt w kierunku nieco większym niż 120° od kursu
68,Eksploatacja oraz manewrowanie jachtem,Chcemy wykonać zwrot przez sztag o jak najmniejszym promieniu skrętu. Który z manewrów opisanych poniżej będzie najefektywniejszy?,"Luzujemy całkowicie fok, wybieramy maksymalnie grot, dajemy ster na burtę","Wybieramy maksymalnie fok i grot, dajemy ster na burtę. kiedy oba żagle wejdą w łopot luzujemy szot foka.","Dajemy ster na burtę, w momencie kiedy jacht będzie w linii wiatru luzujemy szot grota,nawietrzny szot foka luzujemy. Dopiero po odpadnięciu jachtu na nowy hals, a następnie wybieramy zawietrzny szot foka.",B,"Wybieramy maksymalnie fok i grot, dajemy ster na burtę. kiedy oba żagle wejdą w łopot luzujemy szot foka."
69,Eksploatacja oraz manewrowanie jachtem,"Jak należy przygotować cumę dziobową przy odejściu od boi, aby manewr odejścia przeprowadzić sprawnie i bezpiecznie?",Zawiązać cumę na boi węzłem cumowy żeglarski i dopiero potem odchodzić,Założyć cumę na biegowo i odejść na żądany hals,"Założyć możliwie najmocniejszą cumę z posiadanych na jachcie, węzeł nie ma znaczenia",B,Założyć cumę na biegowo i odejść na żądany hals
70,Eksploatacja oraz manewrowanie jachtem,Na jachcie z instalacją elektryczną 12 V czuć zapach tlącej się izolacji. Jak należy postąpić?,Zlokalizować miejsce przegrzane i wyłączyć odpowiedni odbiornik energii,Natychmiast wyłączyć główny wyłącznik akumulatorów lub zdjąć klemy z akumulatorów,Sprawdzić odbiorniki energii o dużej mocy i ewentualnie je wyłączyć,B,Natychmiast wyłączyć główny wyłącznik akumulatorów lub zdjąć klemy z akumulatorów
71,Eksploatacja oraz manewrowanie jachtem,"W porcie jachtowym przyjęty jest system cumowania dziobem do pomostu, a rufą do boi. Jak przeprowadzić manewr cumowania w takim porcie manewrując na silniku?","Przygotować cumę dziobową i rufową, wchodzić powoli i podczas mijania boi założyć cumę rufową, zatrzymać jacht przed nabrzeżem i założyć cumę dziobową","Podejść do nabrzeża dziobem, założyć cumę dziobową, luzować cumę dziobową i cofać jacht na biegu wstecznym, założyć cumę rufową na boję, ustawić jacht pracując cumami","Podejść do boi dziobem, zatrzymać jacht i założyć cumę rufową rozciągniętą z rufy na dziób, na biegu naprzód podchodzić dalej do nabrzeża i założyć cumę dziobową",B,"Podejść do nabrzeża dziobem, założyć cumę dziobową, luzować cumę dziobową i cofać jacht na biegu wstecznym, założyć cumę rufową na boję, ustawić jacht pracując cumami"
72,Eksploatacja oraz manewrowanie jachtem,Zamierzamy wyposażyć jacht w nowe cumy. Chcemy aby były nietonące. Jaki rodzaj wybrać?,Poliamidowe (nylonowe),Poliestrowe (np. elana),Polipropylenowe,C,Polipropylenowe
73,Eksploatacja oraz manewrowanie jachtem,Jacht morski balastowy (długość 8 m). Ile cum i jakiej długości powinno być na pokładzie zgodnie z dobrą praktyką żeglarską?,2 cumy po ok. 8 m.,4 cumy po ok. 12 m,2 cumy po ok. 4 m,B,4 cumy po ok. 12 m
74,Eksploatacja oraz manewrowanie jachtem,Jacht balastowo mieczowy (długość 7 m) eksploatowany jest na jez. Mazurskich. Jaka powinna być orientacyjna długość liny kotwicznej dla tego jachtu?,10 m,25 m,100 m,B,25 m
75,Eksploatacja oraz manewrowanie jachtem,Czarterujemy jacht na jeziorach Mazurskich. Jakie informacje dot. właściwości jachtu z punktu widzenia BEZPIECZEŃSTWA żeglugi będą dla nas NAJWAŻNIEJSZE?,Jaka jest pojemność i rodzaj akumulatorów,Czy jacht jest wyposażony w toaletę chemiczną i zbiorniki na wodę,"Czy jacht jest niezatapialny i jaką ma stateczność (wymaga balastowania, ma stateczność dodatnią przy dużych kątach przechyłu?)",C,"Czy jacht jest niezatapialny i jaką ma stateczność (wymaga balastowania, ma stateczność dodatnią przy dużych kątach przechyłu?)"
76,Eksploatacja oraz manewrowanie jachtem,Przygotowując mieszankę paliwa i oleju do silnika dwusuwowego należy kierować się:,Liczbą oktanową używanego paliwa,Instrukcją obsługi danego silnika,"Nie ma to znaczenia, zawsze stosuje się stosunek 1:50",B,Instrukcją obsługi danego silnika
77,Eksploatacja oraz manewrowanie jachtem,Jakie niebezpieczeństwo stwarza ulatnianie się gazu (propan-butan) z butli we wnętrzu jachtu.,Nie ma wpływu na zdrowie załogi,Tylko utratę pewnej ilości gazu,"Niebezpieczeństwo wybuchu, gdyż gaz z powietrzem tworzy mieszaninę wybuchową",C,"Niebezpieczeństwo wybuchu, gdyż gaz z powietrzem tworzy mieszaninę wybuchową"
78,Eksploatacja oraz manewrowanie jachtem,Na małym jachcie mieczowym (np. OMEGA) zerwał się fał foka. Jak bezpiecznie przeprowadzić naprawę?,Wciągnąć na maszt członka załogi przy użyciu fału grota i wymienić fał,Położyć maszt i wymienić fał,Przy pomoście przechylić jacht używając fału grota i wymienić fał,B,Położyć maszt i wymienić fał
79,Eksploatacja oraz manewrowanie jachtem,Przy ładowaniu akumulatora przenośnym prostownikiem zaciski prostownika podłączamy do akumulatora:,"Plus prostownika - plus akumulatora, minus prostownika - minus akumulatora","Plus prostownika - minus akumulatora, minus prostownika - plus akumulatora","Plus prostownika - plus akumulatora, minus prostownika do uziemienia",A,"Plus prostownika - plus akumulatora, minus prostownika - minus akumulatora"
80,Eksploatacja oraz manewrowanie jachtem,"Jacht żegluje na silniku przyczepnym, w pewnym momencie obroty silnika wzrosły, ale jacht zwalnia i zatrzymuje się. Co może być najbardziej prawdopodobną przyczyną takiej awarii?",Rozłączenie śruby z wałkiem śruby (ścięcie sworznia lub innego zabezpieczenia śruby),Uszkodzenie jednego ze skrzydeł śruby,Nakręcenie wodorostów na śrubę,A,Rozłączenie śruby z wałkiem śruby (ścięcie sworznia lub innego zabezpieczenia śruby)
81,Eksploatacja oraz manewrowanie jachtem,Jak powinno przebiegać prawidłowe zakończenie pracy silnika przyczepnego?,"Zmniejszyć obroty, podnieść silnik na pantografie i zgasić go wyłączeniem zapłonu.","Zmniejszyć obroty, włączyć ""Luz"", zgasić silnik wyłącznikiem zapłonu, podnieść silnik na pantografie.","Zgasić silnik wyłącznikiem zapłonu, podnieść silnik na pantografie",B,"Zmniejszyć obroty, włączyć ""Luz"", zgasić silnik wyłącznikiem zapłonu, podnieść silnik na pantografie."
82,Eksploatacja oraz manewrowanie jachtem,Po uruchomieniu dwusuwowy silnik przyczepny pracuje lecz dość silnie dymi. Co może być przyczyną?,Zbyt dużo oleju w paliwie,Zanieczyszczony gaźnik,Paliwo o zbyt niskiej liczbie oktanowej,A,Zbyt dużo oleju w paliwie
83,Eksploatacja oraz manewrowanie jachtem,Tankując zbiornik paliwa do silnika przyczepnego dla bezpiecznego przechowania zbiornika z paliwem wykonujemy n/w czynności.,Tankujemy go do pełna i zakręcamy korek wlewu.,Tankujemy go do pełna i zakręcamy korek wlewu i zaworek odpowietrzania,Tankujemy z pozostawieniem pewnej wolnej przestrzeni w zbiorniku i zamykamy korek wlewu i zaworek odpowietrzający,C,Tankujemy z pozostawieniem pewnej wolnej przestrzeni w zbiorniku i zamykamy korek wlewu i zaworek odpowietrzający
84,Eksploatacja oraz manewrowanie jachtem,Na jachcie mamy kwasowe akumulatory obsługowe. Czy wymagają one czynności konserwacyjnych?,"Tak, dopełniania ubytków kwasu wodą destylowaną",Nie wymagają żadnej obsługi poza utrzymaniem w czystości klem i ich ochrony przed korozją,Dopełniania ubytków kwasu 50% roztworem kwasu siarkowego,A,"Tak, dopełniania ubytków kwasu wodą destylowaną"
85,Eksploatacja oraz manewrowanie jachtem,"Czy przy gwałtownym hamowaniu silnikiem ""cała wstecz"" i położeniu płetwy sterowej ""ster zero"" jacht:",Utrzyma kurs,Będzie skręcał w zależności od kierunku obrotów śruby,Zawsze będzie skręcał w prawo,B,Będzie skręcał w zależności od kierunku obrotów śruby
86,Eksploatacja oraz manewrowanie jachtem,"Komenda ""prawy foka szot luz"" oznacza:",Natychmiastowe i całkowite zluzowanie szota,Stopniowe luzowanie szota,Luzowanie do momentu wejścia żagla w łopot,A,Natychmiastowe i całkowite zluzowanie szota
87,Eksploatacja oraz manewrowanie jachtem,"Żeglując na rzece podchodzimy do pomostu wiatr, niezbyt silny. Jak należy podchodzić?",Pod prąd,Z prądem,Nie ma to znaczenia,A,Pod prąd
88,Eksploatacja oraz manewrowanie jachtem,Podchodzimy do pomostu prawą burtą na silniku pod prąd. Po zahamowaniu silnikiem jacht stoi. Jaką reakcję jachtu spowoduje wychylenie steru w takiej sytuacji?,Nie będzie żadnej bo jacht stoi,"Ster lewo - dziób będzie odchylał się od pomostu, a rufa w stronę pomostu",Ster prawo - rufa będzie odchylała się w stronę pomostu,B,"Ster lewo - dziób będzie odchylał się od pomostu, a rufa w stronę pomostu"
89,Eksploatacja oraz manewrowanie jachtem,Jakie najważniejsze czynności należy wykonać przed kotwiczeniem?,Przygotować kotwicę i linę kotwiczną,"Upewnić się jaka jest głębokość w miejscu kotwiczenia, przygotować odpowiednią długość liny kotwicznej i kotwicę, przygotować żagle do zrzucenia",Przygotować żagle do zrzucenia,B,"Upewnić się jaka jest głębokość w miejscu kotwiczenia, przygotować odpowiednią długość liny kotwicznej i kotwicę, przygotować żagle do zrzucenia"
